港台频道,#genre#
凤凰中文,http://dns.yiandrive.com:16813/phenix/fhzw
凤凰资讯,http://dns.yiandrive.com:16813/phenix/fhzx
凤凰香港,http://dns.yiandrive.com:16813/phenix/fhhk
凤凰中文,http://kxrj.site:1258/665/fh.php?id=fhzw
凤凰香港,http://kxrj.site:1258/665/fh.php?id=fhhk
凤凰资讯,http://kxrj.site:1258/665/fh.php?id=fhzx


凤凰中文频道,http://php.jdshipin.com/TVOD/iptv.php?id=fhzw
凤凰资讯频道,http://php.jdshipin.com/TVOD/iptv.php?id=fhzx
凤凰香港频道,http://php.jdshipin.com/TVOD/iptv.php?id=fhhk
凤凰资讯,http://50.7.234.10:8278/phoenixinfo_hd/playlist.m3u8?tid=MC1C1591244615912446&ct=19225&tsum=a4fd6441d252c98ea603b13ef749a84e
凤凰中文,http://50.7.234.10:8278/phoenixtv_hd/playlist.m3u8?tid=MFBF2713938527139385&ct=19225&tsum=1c8ca0899277714ab83db57245220068
凤凰香港,http://50.7.234.10:8278/hkphoenix_twn/playlist.m3u8?tid=MACA2858291128582911&ct=19225&tsum=0f01288bbaa6c0403d07e96b0a5db4ed
凤凰资讯,http://203.205.220.174:80/qctv.fengshows.cn/live/0701pin72.m3u8
凤凰中文,http://203.205.220.174:80/qctv.fengshows.cn/live/0701pcc72.m3u8
凤凰香港,http://203.205.220.174:80/qctv.fengshows.cn/live/0701phk72.m3u8

凤凰中文,https://stream1.freetv.fun/16bc0b847b4c0a5a1a8645fc01576a0a28d5d8667bad711c48e5d80d12d2d329.ctv
凤凰资讯,https://stream1.freetv.fun/2a72335a63dd0749c5a32d1bf1b0c001a81a26cc81d7e94534791d36f2c87d7d.ctv
凤凰中文,http://203.205.220.174:80/qctv.fengshows.cn/live/0701pcc72.m3u8
凤凰资讯,http://203.205.220.174:80/qctv.fengshows.cn/live/0701pin72.m3u8
凤凰香港,http://203.205.220.174:80/qctv.fengshows.cn/live/0701phk72.m3u8

中天新闻,http://litv.zapi.us.kg/?id=4gtv-4gtv009
华视新闻,http://litv.zapi.us.kg/?id=4gtv-4gtv052
中视新闻,http://litv.zapi.us.kg/?id=4gtv-4gtv074
非凡新闻,http://litv.zapi.us.kg/?id=4gtv-4gtv010
东森新闻,http://litv.zapi.us.kg/?id=4gtv-4gtv152
东森财经,http://litv.zapi.us.kg/?id=4gtv-4gtv153
民视新闻台,http://litv.zapi.us.kg/?id=litv-ftv13
台视新闻,http://litv.zapi.us.kg/?id=4gtv-4gtv051

中天新闻,http://cdn.iptv8k.top/dl/jspd.php?id=1$OK
中天新闻+,http://cdn.iptv8k.top/dl/jspd.php?id=23$OK
寰宇新闻,http://cdn.iptv8k.top/dl/jspd.php?id=7$OK

重温经典,http://cg12.hunancatv.cn:9090/live/CWJD.m3u8?deviceid=866265039837531&sid=Yp6brv0MWYukAl4oJr9yrw%3D%3D&nonce=Ri1TgJg9dlAK&acl=0111&hlsSessionID=1503359536318867014&srchost=172.16.22.158:8060&gid=OHehEP1KV9FqguWiPXrX6Q%3D%3D
CHC动作电影,http://cg0.hunancatv.cn:9090/live/CHCDZDY_8000.m3u8?deviceid=866265039837531&sid=Yp6brv0MWYukAl4oJr9yrw%3D%3D&nonce=Ri1TgJg9dlAK&acl=0111&hlsSessionID=11082234455604316076&srchost=172.16.22.158:8060&gid=ZF3q5L%2FmYWch1qWqTIPAjw%3D%3D
CHC家庭影院,http://cg11.hunancatv.cn:9090/live/CHCJTYY_8000.m3u8?deviceid=866265039837531&sid=Yp6brv0MWYukAl4oJr9yrw%3D%3D&nonce=Ri1TgJg9dlAK&acl=0111&hlsSessionID=11082234455604316833&srchost=172.16.22.158:8060&gid=c%2BNqgq8pR1ZQ7ZzcmkS8%2BQ%3D%3D
CHC影迷电影,http://cg14.hunancatv.cn:9090/live/CHCGQ_8000.m3u8?deviceid=866265039837531&sid=Yp6brv0MWYukAl4oJr9yrw%3D%3D&nonce=Ri1TgJg9dlAK&acl=0111&hlsSessionID=11082234455604315487&srchost=172.16.22.158:8060&gid=QTVto%2BZu6pkkcNYy4OxcMg%3D%3D


AKTV,#genre#
鳳凰中文,http://aktv.top/AKTV/live/aktv/null-3/AKTV.m3u8
鳳凰資訊,http://aktv.top/AKTV/live/aktv/null-4/AKTV.m3u8
鳳凰香港,http://aktv.top/AKTV/live/aktv/null-5/AKTV.m3u8
中天新聞,http://aktv.top/AKTV/live/aktv/null-8/AKTV.m3u8
中視,http://aktv.top/AKTV/live/aktv/null-10/AKTV.m3u8
寰宇新聞台,http://aktv.top/AKTV/live/aktv/null-9/AKTV.m3u8
無線新聞台,http://aktv.top/AKTV/live/aktv/null-1/AKTV.m3u8
TVBS-新聞台,http://aktv.top/AKTV/live/aktv/tvbs-1/AKTV.m3u8
三立綜合台,http://aktv.top/AKTV/live/aktv/null-13/AKTV.m3u8
三立財經新聞,http://aktv.top/AKTV/live/aktv/null-14/AKTV.m3u8
中天亞洲台,http://aktv.top/AKTV/live/aktv/null-12/AKTV.m3u8
无线新闻台(北美),http://aktv.top/AKTV/live/aktv/null-20/AKTV.m3u8
明珠剧集台(北美),http://aktv.top/AKTV/live/aktv/null-19/AKTV.m3u8
明珠台,http://aktv.top/AKTV/live/aktv/null-2/AKTV.m3u8
翡翠剧集台(北美),http://aktv.top/AKTV/live/aktv/null-18/AKTV.m3u8
翡翠台,http://aktv.top/AKTV/live/aktv/null/AKTV.m3u8
翡翠台(泰国),http://aktv.top/AKTV/live/aktv/null-16/AKTV.m3u8
翡翠综合台(北美),http://aktv.top/AKTV/live/aktv/null-17/AKTV.m3u8
華視,http://aktv.top/AKTV/live/aktv/null-11/AKTV.m3u8
靖天電影台,http://aktv.top/AKTV/live/aktv/null-6/AKTV.m3u8
龍華經典台,http://aktv.top/AKTV/live/aktv/null-7/AKTV.m3u8


咪咕频道,#genre#
CCTV1,http://kxrj.site:1258/665/mg9.php?id=cctv1
CCTV2,http://kxrj.site:1258/665/mg9.php?id=cctv2
CCTV3,http://kxrj.site:1258/665/mg9.php?id=cctv3
CCTV4,http://kxrj.site:1258/665/mg9.php?id=cctv4
CCTV4欧洲,http://kxrj.site:1258/665/mg9.php?id=cctv4o
CCTV4美洲,http://kxrj.site:1258/665/mg9.php?id=cctv4a
CCTV5,http://kxrj.site:1258/665/mg9.php?id=cctv5
CCTV5+,http://kxrj.site:1258/665/mg9.php?id=cctv5p
CCTV6,http://mobilelive-timeshift.ysp.cctv.cn/timeshift/ysp/2013693901/timeshift.m3u8?delay=0&cdn=5202
CCTV6,http://kxrj.site:1258/665/mg9.php?id=cctv6
CCTV7,http://kxrj.site:1258/665/mg9.php?id=cctv7
CCTV8,http://kxrj.site:1258/665/mg9.php?id=cctv8
CCTV9,http://kxrj.site:1258/665/mg9.php?id=cctv9
CCTV10,http://kxrj.site:1258/665/mg9.php?id=cctv10
CCTV11,http://kxrj.site:1258/665/mg9.php?id=cctv11
CCTV12,http://kxrj.site:1258/665/mg9.php?id=cctv12
CCTV13,http://kxrj.site:1258/665/mg9.php?id=cctv13
CCTV14,http://kxrj.site:1258/665/mg9.php?id=cctv14
CCTV15,http://kxrj.site:1258/665/mg9.php?id=cctv15
CCTV17,http://kxrj.site:1258/665/mg9.php?id=cctv17

CGT纪录,http://kxrj.site:1258/665/mg9.php?id=cgtnjl
CGT西语,http://kxrj.site:1258/665/mg9.php?id=cgtne
CGT阿语,http://kxrj.site:1258/665/mg9.php?id=cgtna
CGT法语,http://kxrj.site:1258/665/mg9.php?id=cgtnf
CGT俄语,http://kxrj.site:1258/665/mg9.php?id=cgtnr
家庭影院,http://kxrj.site:1258/665/mg9.php?id=chcjt
动作电影,http://kxrj.site:1258/665/mg9.php?id=chcdz
发现之旅,http://kxrj.site:1258/665/mg9.php?id=fxzl
老故事台,http://kxrj.site:1258/665/mg9.php?id=lgs
中学生台,http://kxrj.site:1258/665/mg9.php?id=zxs
东方卫视,http://kxrj.site:1258/665/mg9.php?id=dfws
吉林卫视,http://kxrj.site:1258/665/mg9.php?id=jlws
青海卫视,http://kxrj.site:1258/665/mg9.php?id=qhws
陕西卫视,http://kxrj.site:1258/665/mg9.php?id=sxws
湖北卫视,http://kxrj.site:1258/665/mg9.php?id=hubws
江西卫视,http://kxrj.site:1258/665/mg9.php?id=jxws
江苏卫视,http://kxrj.site:1258/665/mg9.php?id=jsws
广东卫视,http://kxrj.site:1258/665/mg9.php?id=gdws
湾区卫视,http://kxrj.site:1258/665/mg9.php?id=dwqws
海南卫视,http://kxrj.site:1258/665/mg9.php?id=hinws
兵团卫视,http://mobilelive-timeshift.ysp.cctv.cn/timeshift/ysp/2022606701/timeshift.m3u8?delay=0&cdn=5202
中国教育,http://mobilelive-timeshift.ysp.cctv.cn/timeshift/ysp/2022823801/timeshift.m3u8?delay=0&cdn=5202
四海钓鱼,http://kxrj.site:1258/665/mg9.php?id=shdy
江苏教育,http://kxrj.site:1258/665/mg9.php?id=jsjy
山东教育,http://kxrj.site:1258/665/mg9.php?id=sdjy
游戏风云,http://kxrj.site:1258/665/mg9.php?id=yxfy
之江纪录,http://kxrj.site:1258/665/mg9.php?id=zjjl
杭州综合,http://kxrj.site:1258/665/mg9.php?id=hzzh
杭州明珠,http://kxrj.site:1258/665/mg9.php?id=hzmz
杭州生活,http://kxrj.site:1258/665/mg9.php?id=hzsh
杭州影视,http://kxrj.site:1258/665/mg9.php?id=hzys
杭州少体,http://kxrj.site:1258/665/mg9.php?id=hzse
嵊泗综合,http://kxrj.site:1258/665/mg9.php?id=ssxwzh
普陀电视,http://kxrj.site:1258/665/mg9.php?id=ptxwzh
高清大片,http://kxrj.site:1258/665/mg9.php?id=gqdp
经典电影,http://kxrj.site:1258/665/mg9.php?id=jdxgdy
军事大片,http://kxrj.site:1258/665/mg9.php?id=jsdp
热剧联播,http://kxrj.site:1258/665/mg9.php?id=rjlb
